,node,betweenness_centrality
0,A8MTL3,1.0892821140256251e-05
1,ENSP00000428966,0.0
2,Q9H1D9,0.0001721520869332
3,P43004,0.0003406428848507
4,Q9NQ92,3.972338454962121e-05
5,Q9NYJ7,5.854490166884864e-05
6,O94819,5.033268671889376e-05
7,Q96M94,6.52246127214046e-05
8,Q13423,2.9537972546755e-05
9,Q8TDW7,1.4215101425556649e-06
10,Q13470,6.516706502226413e-07
11,Q13207,7.0469431720307775e-06
12,P08397,0.0002436954155409
13,P0DTE5,8.691675697958422e-06
14,Q14258,0.0003838502795815
15,Q8N328,0.0
16,Q8IZD2,2.8162292183859693e-05
17,P41440,4.242975741637008e-05
18,Q96ME1,2.278200399111525e-05
19,Q2TAA2,0.0
20,P40394,3.436445387214988e-05
21,P55851,1.933853447318777e-05
22,P49407,0.0133597478783779
23,Q9C0K3,4.6500324006263285e-05
24,P08236,0.0002267525387159
25,Q16538,1.526184035322554e-05
26,ENSP00000431165,0.0
27,Q86WC4,2.565361109007944e-05
28,Q9NXV2,3.1720246346142095e-05
29,LRRC9,2.014454109519072e-05
30,Q969U6,0.0001485244131934
31,O43295,2.5042523489598422e-05
32,Q13838,0.0003583395842976
33,Q13526,0.0002029529342361
34,P12830,0.0016984515933999
35,Q4KMX6,5.120195505525499e-05
36,O43837,0.0001013262375301
37,P54849,2.6130792935310102e-06
38,P22532,4.356164877381255e-07
39,Q7Z6A9,2.677518997684843e-06
40,Q14515,2.2053955073637507e-05
41,P56962,0.0001827934421418
42,Q9UGJ1,5.548504262591537e-05
43,P11413,0.0001825115595632
44,Q99943,3.758992269497348e-05
45,Q8IUH2,4.1411204857958175e-09
46,Q9UHE5,6.756047474877046e-05
47,O94829,7.490193484299859e-05
48,Q96H79,0.0
49,O75051,3.580836418206745e-05
50,O15037,5.371721494798721e-06
51,Q96AV8,1.839242167011094e-05
52,Q99595,9.189121050146009e-05
53,Q8N7P1,5.156105063683701e-06
54,Q9BU64,2.376001953514465e-06
55,O75900,2.6298666215695407e-06
56,Q96EA4,3.109276898846736e-05
57,O95256,3.107497427571293e-05
58,Q9UNQ2,0.0001102894863397
59,Q7Z4W2,0.0
60,P55061,0.0001119824098747
61,Q5FWF5,6.573498726478048e-05
62,Q96N66,4.345496060831635e-05
63,A6NE82,2.6890888836651096e-05
64,Q14582,6.921605735835382e-05
65,Q9H5Q4,0.0002306612666274
66,Q9P0T7,0.0002319353671744
67,P16233,0.0002509476925594
68,Q9UQ88,1.472660138505525e-05
69,Q9H939,1.848269938376117e-05
70,Q9BX82,0.0
71,Q9BTV6,9.543947924712342e-05
72,Q9BTP7,3.290957237591198e-05
73,ENSP00000484075,0.0
74,ENSP00000455659,0.0
75,P26842,3.516786228776565e-05
76,Q6UXX9,2.045858187836421e-05
77,Q8TAZ6,3.0491039688833004e-07
78,Q8NAM6,0.0001141443468031
79,Q8N5U6,9.26434791931677e-06
80,Q9UBL6,2.5226321294828598e-06
81,Q92908,9.630892833638753e-05
82,P02100,0.0001196390203186
83,Q8N4W6,6.508337282901444e-07
84,F8W1W9,0.0
85,P48431,0.0011733768387301
86,Q9NWM8,6.108003576231746e-05
87,P51841,2.3792549669432748e-05
88,Q9UJ68,0.0002420771246266
89,Q6P2D0,1.0921976825855168e-06
90,Q00888,1.7863656997550584e-09
91,Q9H410,1.2224437733831777e-05
92,Q16560,1.975399159788916e-05
93,ENSP00000468690,1.1415032981844098e-05
94,Q8WYB5,9.224570343523852e-05
95,Q8NCR6,2.3073171522208358e-06
96,Q96NL8,5.232317727814976e-06
97,Q9H8H2,4.163410984597592e-05
98,Q92888,1.8142276709146905e-05
99,O94876,2.900211862772029e-05
100,P21583,0.0005235070218151
101,Q8TB37,1.976167032839942e-05
102,Q8NCW0,1.9943227298199443e-08
103,Q9H9E3,0.0001030352025016
104,Q09MP3,0.0
105,Q9P244,5.4925944085587374e-06
106,Q96B97,0.0002284635646329
107,Q9UK73,9.359012104087118e-05
108,Q5PRF9,2.155598117923376e-06
109,Q8TB72,8.175601117713881e-05
110,O95231,3.615641726488588e-05
111,Q02446,3.259583037042257e-06
112,P16520,0.0005551625107814
113,A0FGR8,1.2127464105189696e-05
114,A0PK05,3.5471404264098075e-05
115,Q16647,2.7907738237583663e-05
116,Q92629,1.418249014309499e-05
117,P11171,0.0002042684801174
