node,degree_centrality_600,betweenness_centrality_600,closeness_centrality_600,clustering_coefficient_600
A8MTL3,0.0008873577617705,1.0892821140256251e-05,0.0003962508913656,0.3235294117647059
ENSP00000428966,0.0,0.0,0.0,0.0
Q9H1D9,0.0047499739012423,0.0001721520869332,0.0004486564444225,0.3672771672771673
P43004,0.0030796534084977,0.0003406428848507,0.0004655776525994,0.1636469900642899
Q9NQ92,0.0019313080697358,3.972338454962121e-05,0.0004399636451664,0.4459459459459459
Q9NYJ7,0.0009395552771688,5.854490166884864e-05,0.0003985220369012,0.5686274509803921
O94819,0.0003131850923896,5.033268671889376e-05,0.0003472359000091,0.4666666666666667
Q96M94,0.0003653826077878,6.52246127214046e-05,0.0003655737900342,0.0
Q13423,0.0014615304311514,2.9537972546755e-05,0.0004107470336921,0.3518518518518518
Q8TDW7,0.0003653826077878,1.4215101425556649e-06,0.0003886048577752,0.0476190476190476
Q13470,0.0001565925461948,6.516706502226413e-07,0.0003744252287569,0.0
Q13207,0.000991752792567,7.0469431720307775e-06,0.0004225616380683,0.1461988304093567
P08397,0.0018791105543376,0.0002436954155409,0.0004585043856809,0.2031746031746031
P0DTE5,0.0033928385008873,8.691675697958422e-06,0.0004168171181708,0.2576923076923076
Q14258,0.0053763440860215,0.0003838502795815,0.0004793342041185,0.1998857795545402
Q8N328,0.0,0.0,0.0,0.0
Q8IZD2,0.0042279987472596,2.8162292183859693e-05,0.0004613655640632,0.4558641975308642
P41440,0.0012005428541601,4.242975741637008e-05,0.0004004176812754,0.2569169960474308
Q96ME1,0.0008351602463722,2.278200399111525e-05,0.0004497230748519,0.4833333333333333
Q2TAA2,5.219751539826704e-05,0.0,0.0003049960324336,0.0
P40394,0.0039670111702682,3.436445387214988e-05,0.0004240948165661,0.2947368421052631
P55851,0.0012005428541601,1.933853447318777e-05,0.0004503421064199,0.3320158102766798
P49407,0.0335630024010857,0.0133597478783779,0.0005501189211903,0.0277902937457304
Q9C0K3,0.0014615304311514,4.6500324006263285e-05,0.0004198078325149,0.5105820105820106
P08236,0.0031840484392942,0.0002267525387159,0.0004583697714705,0.0983606557377049
Q16538,0.0005741726693809,1.526184035322554e-05,0.0003602981552679,0.2181818181818181
ENSP00000431165,0.0,0.0,0.0,0.0
Q86WC4,0.000782962730974,2.565361109007944e-05,0.0003972026940409,0.1142857142857142
Q9NXV2,0.0010439503079653,3.1720246346142095e-05,0.0003971010948712,0.3684210526315789
LRRC9,0.0005219751539826,2.014454109519072e-05,0.0004022892148997,0.0666666666666666
Q969U6,0.003340640985489,0.0001485244131934,0.0004533945101847,0.2886904761904761
O43295,0.0013571354003549,2.5042523489598422e-05,0.0004181869475665,0.2123076923076923
Q13838,0.0097609353794759,0.0003583395842976,0.0004882054563887,0.2590995342418492
Q13526,0.0042801962626578,0.0002029529342361,0.0004744065477971,0.1102077687443541
P12830,0.0157636496502766,0.0016984515933999,0.0005368658417517,0.1108666475985126
Q4KMX6,0.004697776385844,5.120195505525499e-05,0.0004818071077415,0.4104868913857677
O43837,0.0036016285624804,0.0001013262375301,0.0004367968272982,0.3934356351236147
P54849,0.0004697776385844,2.6130792935310102e-06,0.0004062803619395,0.0555555555555555
P22532,0.0020357031005324,4.356164877381255e-07,0.0003701721820457,0.9527665317139
Q7Z6A9,0.001774715523541,2.677518997684843e-06,0.0004178976152595,0.4188948306595365
Q14515,0.000782962730974,2.2053955073637507e-05,0.0004105727220197,0.0476190476190476
P56962,0.0062115043323937,0.0001827934421418,0.0004538320400454,0.2929782082324455
Q9UGJ1,0.001565925461948,5.548504262591537e-05,0.000412526983258,0.3241379310344827
P11413,0.0053763440860215,0.0001825115595632,0.0004713257535858,0.2478583666476299
Q99943,0.0027142708007098,3.758992269497348e-05,0.0004045876327648,0.4766214177978884
Q8IUH2,0.000208790061593,4.1411204857958175e-09,0.0003465078014362,0.8333333333333334
Q9UHE5,0.0004175801231861,6.756047474877046e-05,0.0003831404703089,0.1071428571428571
O94829,0.0019835055851341,7.490193484299859e-05,0.0004377222248012,0.1593172119487909
Q96H79,5.219751539826704e-05,0.0,0.0002151076297691,0.0
O75051,0.0026098757699133,3.580836418206745e-05,0.0004468812736194,0.2816326530612245
O15037,0.000208790061593,5.371721494798721e-06,0.000416339472329,0.1666666666666666
Q96AV8,0.002557678254515,1.839242167011094e-05,0.0004548439462218,0.5790816326530612
Q99595,0.0032884434700908,9.189121050146009e-05,0.0004255816804674,0.3466461853558628
Q8N7P1,0.0003131850923896,5.156105063683701e-06,0.0003624818632044,0.0666666666666666
Q9BU64,0.0028186658315064,2.376001953514465e-06,0.0004418767324005,0.7847658979734451
O75900,0.0004175801231861,2.6298666215695407e-06,0.0003695410768257,0.0714285714285714
Q96EA4,0.0031840484392942,3.109276898846736e-05,0.0004368493860407,0.673224043715847
O95256,0.0012527403695584,3.107497427571293e-05,0.0004248457757056,0.1304347826086956
Q9UNQ2,0.0085603925253157,0.0001102894863397,0.0004556976040873,0.6717043244052072
Q7Z4W2,5.219751539826704e-05,0.0,0.0003244992767597,0.0
P55061,0.0010439503079653,0.0001119824098747,0.0004242101610335,0.0947368421052631
Q5FWF5,0.0022966906775237,6.573498726478048e-05,0.0004276875259609,0.4281183932346723
Q96N66,0.001565925461948,4.345496060831635e-05,0.0003937238248356,0.193103448275862
A6NE82,0.0004697776385844,2.6890888836651096e-05,0.0003497307229575,0.25
Q14582,0.000782962730974,6.921605735835382e-05,0.0004054912356955,0.1714285714285714
Q9H5Q4,0.0088213801023071,0.0002306612666274,0.0004656726944595,0.5183150183150184
Q9P0T7,0.0009395552771688,0.0002319353671744,0.0004085043456819,0.1045751633986928
P16233,0.003340640985489,0.0002509476925594,0.0004311341900185,0.283234126984127
Q9UQ88,0.0008351602463722,1.472660138505525e-05,0.0004191395318284,0.075
Q9H939,0.0010961478233636,1.848269938376117e-05,0.0004222103444584,0.1142857142857142
Q9BX82,0.0,0.0,0.0,0.0
Q9BTV6,0.0008351602463722,9.543947924712342e-05,0.0003881631759456,0.2833333333333333
Q9BTP7,0.0037060235932769,3.290957237591198e-05,0.0004631036862475,0.5408450704225352
ENSP00000484075,0.0,0.0,0.0,0.0
ENSP00000455659,0.0,0.0,0.0,0.0
P26842,0.0049065664474371,3.516786228776565e-05,0.0004588063613664,0.3832075040036605
Q6UXX9,0.0010439503079653,2.045858187836421e-05,0.0004338694064403,0.5789473684210527
Q8TAZ6,0.0003131850923896,3.0491039688833004e-07,0.0003162400996967,0.7333333333333333
Q8NAM6,0.0006263701847792,0.0001141443468031,0.0003738627800076,0.3787878787878788
Q8N5U6,0.0004175801231861,9.26434791931677e-06,0.0003767216499745,0.0357142857142857
Q9UBL6,0.000208790061593,2.52263212948286e-06,0.0003490872572608,0.1666666666666666
Q92908,0.0026098757699133,9.630892833638753e-05,0.0004457809488202,0.1518367346938775
P02100,0.0018269130389393,0.0001196390203186,0.0004396854646816,0.2436974789915966
Q8N4W6,0.0003131850923896,6.508337282901444e-07,0.0003602689374754,0.6666666666666666
F8W1W9,0.000208790061593,0.0,0.0003500390571392,0.1666666666666666
P48431,0.0124752061801858,0.0011733768387301,0.0005227235916302,0.1144122921134981
Q9NWM8,0.0016703204927445,6.108003576231746e-05,0.0004193521999786,0.189516129032258
P51841,0.0027664683161081,2.3792549669432748e-05,0.0004366611647383,0.2728592162554427
Q9UJ68,0.0024010857083202,0.0002420771246266,0.0004393909527399,0.0995169082125603
Q6P2D0,0.0002609875769913,1.0921976825855168e-06,0.0003911734610545,0.3
Q00888,0.0004175801231861,1.7863656997550582e-09,0.0004060881604865,0.9285714285714286
