node,biogrid_degree_centrality,biogrid_closeness_centrality,biogrid_betweenness_centrality,string_degree_centrality,string_closeness_centrality,string_betweenness_centrality,intact_degree_centrality,intact_closeness_centrality,biogrid_clustering_coefficient,intact_clustering_coefficient,string_clustering_coefficient
P61289,0.001310447,0.603270467,4.08e-05,0.05799144,0.003020865,9.62e-05,0.001049137,0.842253725,0.0167310167310167,0.0214799588900308,0.2545859991404546
Q9UI14,0.000292511,0.295049274,3.51e-06,0.031736089,0.002947438,6.26e-05,0.000779359,0.828810197,0.0466666666666666,0.0225914861837191,0.1579868637821902
Q96CM8,0.000795629,0.305353402,3.65e-06,0.038260779,0.002937376,4.35e-05,0.000277272,0.799164839,0.0935030728709394,0.045045045045045,0.1877343650988899
Q8TAP4,0.000222308,0.272681429,5.3e-07,0.041131642,0.0030674,6.05e-05,0.000269778,0.714519881,0.0994152046783625,0.0158730158730158,0.2357568095769451
O95168,0.000479717,0.554082459,2.22e-06,0.028082263,0.002860743,2.3e-05,0.000187346,0.879487767,0.2261735419630156,0.3766666666666666,0.2793434542723239
P16401,0.001474253,0.308565872,3.03e-05,0.022392734,0.002900044,7.67e-06,0.001798521,0.857369468,0.1621587301587301,0.0297768479776847,0.2472387425658453
Q16658,0.000432916,0.603572606,3.8e-05,0.037373421,0.002990912,3.74e-05,0.000539556,0.838365528,0.0915915915915916,0.0614241001564945,0.2045591280228151
Q53H12,0.000468017,0.29661408,2.58e-06,0.036381668,0.002909652,7.31e-05,0.000389679,0.890948238,0.0487179487179487,0.0482654600301659,0.1304523491482379
Q8TBK6,0.002047574,0.311913106,5.39e-05,0.00861259,0.002510848,6.31e-07,0.000487099,0.724979853,0.0294252873563218,0.0538461538461538,0.0980783444198078
P36578,0.003217616,0.54132157,1.59e-05,0.106169746,0.003140009,0.000173396,0.001079112,0.86651827,0.1426940942269409,0.1513209013209013,0.2234318600515293
