Interactor_A,Interactor_B,Detection_Method,Interactor_A_Taxid,Interactor_B_Taxid,Interaction_Type,Reference,Confidence_Value,Original_ID_A,Original_ID_B,database
Q9VR87,Q9VBC5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VR87,uniprotkb:Q9VBC5,IntAct
Q9VR87,P91632,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VR87,uniprotkb:P91632,IntAct
Q9VR87,Q8T3W6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VR87,uniprotkb:Q8T3W6,IntAct
Q9VR87,P20659,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VR87,uniprotkb:P20659,IntAct
Q9VR87,Q9VJU5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VR87,uniprotkb:Q9VJU5,IntAct
Q9Y103,Q9VZE9,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9Y103,uniprotkb:Q9VZE9,IntAct
Q9U9Q2,Q9VZE9,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9U9Q2,uniprotkb:Q9VZE9,IntAct
Q9VPS5,Q9W4F3,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VPS5,uniprotkb:Q9W4F3,IntAct
P42282,Q9W4F3,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:P42282,uniprotkb:Q9W4F3,IntAct
Q9W4V8,Q9W4G4,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9W4V8,uniprotkb:Q9W4G4,IntAct
Q9W4G5,Q9VHC7,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9W4G5,uniprotkb:Q9VHC7,IntAct
Q9VHC7,Q9W4G5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VHC7,uniprotkb:Q9W4G5,IntAct
Q9W4J2,Q9VJU5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9W4J2,uniprotkb:Q9VJU5,IntAct
Q9VQJ0,Q9W4L5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VQJ0,uniprotkb:Q9W4L5,IntAct
Q9VRX7,Q9W4L5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VRX7,uniprotkb:Q9W4L5,IntAct
Q9VSQ5,Q9VWC6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VSQ5,uniprotkb:Q9VWC6,IntAct
EBI-108174,Q9VWC6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,intact:EBI-108174,uniprotkb:Q9VWC6,IntAct
M9MRI4,Q9VWC6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:M9MRI4,uniprotkb:Q9VWC6,IntAct
Q9V4B8,Q9VWC6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9V4B8,uniprotkb:Q9VWC6,IntAct
Q9VWC6,Q7JXC4,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VWC6,uniprotkb:Q7JXC4,IntAct
Q9VW92,Q9VWC6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VW92,uniprotkb:Q9VWC6,IntAct
Q9W0I9,Q9VWC6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9W0I9,uniprotkb:Q9VWC6,IntAct
Q9VWC8,Q9VJE3,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VWC8,uniprotkb:Q9VJE3,IntAct
Q960F7,Q9VWC8,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q960F7,uniprotkb:Q9VWC8,IntAct
Q9VLA2,Q9VWC8,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VLA2,uniprotkb:Q9VWC8,IntAct
Q9VEP4,Q9VWC8,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VEP4,uniprotkb:Q9VWC8,IntAct
Q9VWC8,Q27297,MI:0018,7227,7227,MI:0915,MI:0469,0.57,uniprotkb:Q9VWC8,uniprotkb:Q27297,IntAct
P52486,Q9VWC8,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:P52486,uniprotkb:Q9VWC8,IntAct
Q9VLS5,Q9VWC8,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VLS5,uniprotkb:Q9VWC8,IntAct
Q7K237,Q9VWC8,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q7K237,uniprotkb:Q9VWC8,IntAct
Q9VMC6,Q9VWC8,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VMC6,uniprotkb:Q9VWC8,IntAct
Q9VXS3,P08182,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VXS3,uniprotkb:P08182,IntAct
Q9VGI4,Q9VXS3,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VGI4,uniprotkb:Q9VXS3,IntAct
Q9VXS3,Q9W4I4,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VXS3,uniprotkb:Q9W4I4,IntAct
Q9VSB2,Q9VXS3,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VSB2,uniprotkb:Q9VXS3,IntAct
Q9VXS3,P20439,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VXS3,uniprotkb:P20439,IntAct
Q9VXS3,Q9V3Z1,MI:0018,7227,7227,MI:0915,MI:0469,0.62,uniprotkb:Q9VXS3,uniprotkb:Q9V3Z1,IntAct
Q9VG62,Q9VXS3,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VG62,uniprotkb:Q9VXS3,IntAct
Q9V3Z1,Q9VXS3,MI:0018,7227,7227,MI:0915,MI:0469,0.62,uniprotkb:Q9V3Z1,uniprotkb:Q9VXS3,IntAct
Q9VX41,Q9VXS3,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VX41,uniprotkb:Q9VXS3,IntAct
Q9VXS3,Q7JXC4,MI:0018,7227,7227,MI:0915,MI:0469,0.62,uniprotkb:Q9VXS3,uniprotkb:Q7JXC4,IntAct
Q7JXC4,Q9VXS3,MI:0018,7227,7227,MI:0915,MI:0469,0.62,uniprotkb:Q7JXC4,uniprotkb:Q9VXS3,IntAct
Q9VJU5,Q9VXS3,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VJU5,uniprotkb:Q9VXS3,IntAct
Q9VQJ0,Q9VZV9,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VQJ0,uniprotkb:Q9VZV9,IntAct
Q9VZV9,Q9VHS8,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VZV9,uniprotkb:Q9VHS8,IntAct
Q9VYQ0,Q9VR24,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYQ0,uniprotkb:Q9VR24,IntAct
